rank	label
1	BACKGROUND 1
2	BACKGROUND 2
3	Politisch-Demokratische Aspekte
4	Weltweite Krise
5	zeitliche Dimension
6	Erkrankungsverlauf & Forschung
7	Finanzmärkte
8	familiäre Aspekte
9	strenger-Lauterbach-Lockdown
10	Falschinformationen
11	aktuelle Fallzahlen
12	Testen
13	ökonomische Krise in Deutschland
14	finanzielle Kosten
15	Berichterstattung
16	Meinungsforschung
17	finanzielle Unterstützung Studierender + freiwilliges Engagement und Spenden
18	Arbeitsplatz
19	Eindämmung der Ausbreitung
20	Impfstoffe
21	lokales Infektionsgeschehen
22	Corona in anderen Ländern
23	Kultur
24	Regelungen in der Gastronomie
25	Religion
26	schwere Krankheitsverläufe
27	Äußerungen von Politiker*innen
28	Masken
29	Gesundheitsminister
30	Niederbayern
31	Verfassungsrecht
32	Drosten
33	abgesagte Veranstaltungen
34	Asian
35	Schule und Kita
36	psychische Folgen
37	Parteien und Spitzenpolitiker*innen
38	EU
39	(Anti-Corona) Demos
40	Corona-Warn-App
41	Lokale Berlin-Themen
42	Ein- und Ausreise
43	Bußgelder und Strafen (bei Corona-Vergehen)
44	Fußball
45	Norddeutschland
46	britische Corona-Mutation
47	Corona im Kontext der US-Präsidentschaftswahl
48	AfD
49	Abo-Werbung
50	Söder
